name,category,classification,item_type,unit_of_measure,is_trackable,description,condition,quantity,serial_number,expiration_date
Busbar Screw 3/16 x 1,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 125 pcs.,good,125,,
Busbar Screw 3/16 x 3/4,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 65 pcs.,good,65,,
"Cable Tie ""10",items_tools,consumable,disposables,pack,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pack.,good,1,,
"Cable Tie ""12",items_tools,consumable,disposables,pack,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pack.,good,1,,
"Cable Tie ""6",items_tools,consumable,disposables,pack,false,Imported from INVENTORY LIST (PAPER). Source quantity: 6 packs.,good,6,,
"Cable Tie ""8",items_tools,consumable,disposables,pack,false,Imported from INVENTORY LIST (PAPER). Source quantity: 3 packs.,good,3,,
Caution Tape,items_tools,consumable,disposables,roll,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 rolls.,good,2,,
Flap Disc,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 6 pcs.,good,6,,
Grinding Disc,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 pcs.,good,2,,
Hacksaw Blade,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 50 pcs.,good,50,,
Leviton Switch,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 10 pcs.,good,10,,
Mapp Gas,system_reprocess_replacement_compressor,consumable,chemicals,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 10 pcs.,good,10,,
"Mica Tube ""1",items_tools,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 20 meters.,good,20,,
"Mica Tube ""1/2",items_tools,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 25 meters.,good,25,,
"Mica Tube ""3/4",items_tools,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 25 meters.,good,25,,
Panel Push Lock,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 95 pcs.,good,95,,
Paint Brush,items_tools,consumable,tools,box,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 box.,good,1,,
Polyethylene Tape (Blue),items_tools,consumable,disposables,roll,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 rolls.,good,2,,
Polyethylene Tape (White),items_tools,consumable,disposables,roll,false,Imported from INVENTORY LIST (PAPER). Source quantity: 12 rolls.,good,12,,
"PVC Moulding ""1",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 pcs.,good,2,,
"PVC Moulding ""1/2",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"PVC Moulding ""3/4",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 3 pcs.,good,3,,
Rubber Tape,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 13 pcs.,good,13,,
Sealant (Brown),items_tools,consumable,chemicals,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 4 pcs.,good,4,,
Sealant (White),items_tools,consumable,chemicals,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 7 pcs.,good,7,,
Sealant (Clear),items_tools,consumable,chemicals,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 20 pcs.,good,20,,
Sealant (Black),items_tools,consumable,chemicals,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 10 pcs.,good,10,,
Shrinkable Tube (Blue),items_tools,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 15 meters.,good,15,,
Shrinkable Tube (Green),items_tools,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 20 meters.,good,20,,
Shrinkable Tube (Red),items_tools,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 25 meters.,good,25,,
Shrinkable Tube (Yellow),items_tools,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 25 meters.,good,25,,
Silver Rod,system_reprocess_replacement_compressor,consumable,chemicals,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 60 pcs.,good,60,,
Tex Screw,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 50 pcs.,good,50,,
"Terminal Lugs ""14-10",pm_set_electrical,consumable,disposables,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 55 pcs.,good,55,,
"Terminal Lugs ""22-10",pm_set_electrical,consumable,disposables,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 55 pcs.,good,55,,
"Terminal Lugs ""38-10",pm_set_electrical,consumable,disposables,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 30 pcs.,good,30,,
"Terminal Lugs ""8-10",pm_set_electrical,consumable,disposables,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 105 pcs.,good,105,,
Spray Paint Black,items_tools,consumable,chemicals,can,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 cans.,good,2,,
Spray Paint Red,items_tools,consumable,chemicals,can,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 can.,good,1,,
Spray Paint Green,items_tools,consumable,chemicals,can,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 cans.,good,2,,
Spray Paint Orange,items_tools,consumable,chemicals,can,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 can.,good,1,,
Spray Paint Brown,items_tools,consumable,chemicals,can,false,Imported from INVENTORY LIST (PAPER). Source quantity: 3 cans.,good,3,,
Spray Paint Beige,items_tools,consumable,chemicals,can,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 cans.,good,2,,
