name,category,classification,item_type,unit_of_measure,is_trackable,description,condition,quantity,serial_number,expiration_date
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-001,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-002,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-003,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-004,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-005,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-006,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-007,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-008,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-009,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-010,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-011,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-012,
Tin Snip,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-001-TIN-SNIP-013,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-001,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-002,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-003,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-004,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-005,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-006,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-007,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-008,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-009,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-010,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-011,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-012,
Riveter,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-002-RIVETER-013,
Claw Hammer,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-003-CLAW-HAMMER-001,
Claw Hammer,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-003-CLAW-HAMMER-002,
Claw Hammer,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-003-CLAW-HAMMER-003,
Claw Hammer,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-003-CLAW-HAMMER-004,
Claw Hammer,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-003-CLAW-HAMMER-005,
Claw Hammer,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-003-CLAW-HAMMER-006,
Claw Hammer,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-003-CLAW-HAMMER-007,
Claw Hammer,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-003-CLAW-HAMMER-008,
Ball Peen Hammer,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-004-BALL-PEEN-HAMMER-001,
Ball Peen Hammer,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-004-BALL-PEEN-HAMMER-002,
Ball Peen Hammer,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-004-BALL-PEEN-HAMMER-003,
Rubber Mallet,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-005-RUBBER-MALLET-001,
Rubber Mallet,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-005-RUBBER-MALLET-002,
Rubber Mallet,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-005-RUBBER-MALLET-003,
Grinder,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-006-GRINDER-001,
Grinder,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-006-GRINDER-002,
Grinder,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-006-GRINDER-003,
Grinder,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-006-GRINDER-004,
Grinder,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-006-GRINDER-005,
Grinder,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-006-GRINDER-006,
Grinder,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-006-GRINDER-007,
Grinder,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-006-GRINDER-008,
Pipe Wrench,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-007-PIPE-WRENCH-001,
Pipe Wrench,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-007-PIPE-WRENCH-002,
Pipe Wrench,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-007-PIPE-WRENCH-003,
Pipe Wrench,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-007-PIPE-WRENCH-004,
Pipe Wrench,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-007-PIPE-WRENCH-005,
Pipe Wrench,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-007-PIPE-WRENCH-006,
Pipe Wrench,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-007-PIPE-WRENCH-007,
Pipe Wrench,items_tools,equipment,tools,,true,Imported from UPDATED WAREHOUSE TOOLS (PAPER).,good,1,UWT-007-PIPE-WRENCH-008,
